【防災対策】ライフラインアカウント検索 https://support.twitter.com/articles/20170074 … いざという時に備えてライフライン関連アカウントを登録しましょう。3.11の時、ケータイから通話は出来ないが、ツイッターは使えた人も多いはず。 #,High
電気か水か新幹線復旧まだ…？,High
救援物資のおかげで飯には困らなさそう　電気か水どっちか復旧してくれ！,High
今日も日が沈みます　電気がない今寝るしかありません　ですが寝ることはできるのです　前向きに頑張る　心折れちゃダメだ！,High
電池ピンチ　停電復旧まだすかああああああ,High
明日天気次第　国道歩いて仙台中心いくつもりです　運よければタクシーつかまえる　一泊させてもいいよという方リプください　今ライフライン全滅なため電気を分けていただきたい〉〈　因みに残念ながら男です,High
地味に食料に困ったが営業中のレストラン発見　コンビニも品揃え十分じゃなかった…　アイスはやたらとあったけど,High
千葉あたりで強めの地震だそうで　気を抜いちゃいけないね,High
長い間非常食に、と食べずにおいたモノを食べようかと思う　荷物になるし　この蜜柑とは４日くらいの付き合いかな　いただきます　,High
いわき市水道局3/17:風船式給水槽1㎥等による給水所（17箇所） 平 地 区：高久小学校、藤間中学校、中央台公民館、平第六小学校 小名浜地区：江名小学校、江名中学校、小名浜高校、玉川中央公園 勿来地区：植田小学校、植田公民館、勿来公民館、金山運動公園 #iwaki #negau,High
バス乗れた！　雪のなか待つのはしばれた(方言)　盛岡のホテルに一泊することになりそう,Middle
薄々わかっていたことだが仙台中心部の奴等かなり普通の生活してたんだな！！　隣駅の地区に電気がきたのを窓から見て明日は停電から復旧だと希望をもち二日すぎやっときたと喜んだ束の間住んでる寮には電気が来ないという疎外感は一生覚えとく　まるまる一週間電気なくても生活できるんだＮＥ,Middle
盛岡でも揺れてる　こわいなぁ　一週間ぶりのお風呂にいきたいのだけど,Middle
とっさに服着てにげる準備をしたがそんなことをする程度の余裕はあるｗ,Middle
震度４はありそう　フィギュアは全くの無傷で何より　,Middle
おちおち寝てられない゜д゜　夜の地震は怖いわ！,Middle
予震落ち着いたかな仙台漫画読みながらベッドで寝てよう,Middle
@bamurin 寮だからみんなで助け合いながら何とかやってる　そっち方面いけるかなあ？　移動手段がなんとも　復旧に期待するよ,Middle
寝る前にと携帯つけたら久々のアンテナ3本！　ネットにもすぐ繋がる！　ちょっと希望が見えた　今日は格段に寒い東北　風邪ひかないといいなぁ　それではおやすみ　災害に関係ないツイートも増えてきてちょぴり寂しくもあったり,Middle
もちろんまだまだ普通の生活ができてない人もいっぱいいるだろう　しばらくは自重するよ　もう少しです　諦めないでね,Middle
[日本ライフラインの口コミ] 非常に社員同士仲がいいです。個人的に休日あって遊ぶ方もいれば、家族同士お付き合いされている方もいます。本社の役員の方々も非常に気さくで、役職の壁など無くお付き合いされている・・・http://black-log.com/company_2387,Low
メガネ・・・それは僕らのライフライン！,Low
休憩室で「ウチらクレカ持ったらヤバいよね～」って言ってる女、どんだけ金遣いヤバいんだ…と、思ったけど自分の金遣いを客観視できてる分ライフラインが止まるオタクよりはまともかもしれん,Low
終電がエンジニアのライフラインになってる説。つまり終電がなければ無限に・・・・いや、無理。,Low
クイズミリオネアで、亀田興毅、史郎親子が一問目の「仏の顔も何度まで？」という問題にさっそくライフラインを使った回,Low
DJ中に眼鏡を壊したほう(左)とライフラインを止めがちなほう(右)、ふたり合わせて電気代グルーヴだッ💡 ,Low
デバッグされなかった司会者 「良いですか？あなたにはライフラインがまだ０個残っています。」 「ではテレフォンを使います。」 ～電話後～ 「良いですか？あなたにはライフラインがまだ－１個残っています。」,Low
「お前...お前だけになれんの」 まるで宣告の様に突き付けた言葉に赤葦は不思議そうに首を傾げた。 「どういう意味スか、それ」 「そのまんまの意味」 蒸発とか音信不通とかそういうのではない。 連絡は取る。けれど近況も住所も明かさない。 あくまでも生存確認の為のライフライン。,Low
ついにここまで来た　ヒトの卵子幹細胞を使ったコスメ『ライフライン』登場　neco_chanさん　http://matome.naver.jp/odai/2141822092453137201 …,Low
【拡散希望】【ヲタ芸】４人で神沼芸～ライフライン～【ＧＵＲＡ】https://www.youtube.com/watch?v=6qKqvVTgVRg …,Low
警戒区域への一時立入が開始しました。参加には登録が必要です。県外避難者含め、受付センター0120-208-066（毎日8時～22時）までご登録下さいhttp://www.nisa.meti.go.jp/earthquake/tachiiri/tachiiri_index.html,High
本日、川内村と葛尾村で一時立入が行われました。川内村２８世帯４３名、葛尾村１７世帯２７名。除染の必要のある方及び気分の悪くなった方はおらず、無事終了できました。,High
一時立入の今後の予定ですが、田村市については希望調査中ですので、希望される方はあす１３日（金）までに、役場にご連絡ください。 その他の市町（南相馬市、楢葉町、富岡町、大熊町、双葉町、浪江町）については、あす１３日以降、フリーダイヤル0120-208-066までご連絡ください。,High
警戒区域への一時立入についてですが、立入可能な方、持ち出し可能な品、立入の流れなどは、経済産業省原子力安全・保安院のHPをご覧ください。 http://www.nisa.meti.go.jp/earthquake/tachiiri/tachiiri_index.html,High
福島県で被災され避難されている方は、以前お住まいだった市町村へ、現在の所在地・連絡先等をご連絡いただけますようお願いします。 詳細は、福島県HPをご覧下さい。　 http://www.pref.fukushima.jp/j/call_center5.pdf,High
福島県・経済産業省では、原子力発電事故により移転を余儀なくされる中小企業等に対し、事業所を県内に移転する場合、事業継続・再開に必要な事業資金につき無利子無担保の融資行います。6月1日から申請を受け付けます。 詳しくは、http://tinyurl.com/3upv5cc,High
【お知らせ】大震災により被害を受けられた方へ。住民税、固定資産税、自動車税等の地方税について軽減措置等を受けられます。お問い合わせはお住まいの市町村または県へ⇒ http://twme.jp/pmo/0002,High
本日、警戒区域への一時立入が行われました。南相馬市（一部）と富岡町（一部）が対象です。スクリーニングの結果など、またお知らせします。,High
役場の臨時職員募集のお知らせ：浪江町では、警戒区域への一時立入りの業務等のために、１０数名程度の臨時職員を募集しています。雇用期間は概ね３ヶ月です。６月１日までで募集締切。 詳しくは、浪江町ＨＰ　http://www.town.namie.fukushima.jp/?p=3337,High
応急仮設住宅への入居募集のお知らせ：葛尾町では、応急仮設住宅への入居への応募を受け付けています。間取りは１ＤＫから３Ｋまであります。 詳しくは、葛尾村ＨＰ　http://www.katsurao.org/forms/info/info.aspx?info_id=21938,High
全国に避難されている被災者のみなさまへ。避難先の市町村へ、現在のあなたの所在地などをお知らせ下さい。見舞金、税金の減免など生活支援に関する大切な情報をお届けします。詳しくはいまいらっしゃる避難先の市町村にお問い合わせ下されば大丈夫です。,Middle
被災１３市町村から県内外に避難している方々に向けて、国からの情報提供として「ふれあいニュースレター【電子版0110】」を配信。旧緊急時避難準備区域避難指示解除準備区域の河川水源地モニタリング結果、避難者等への住民意向調査等お知らせします。　http://tinyurl.com/7cnnyvw ,Middle
【お知らせ】＜仮設住宅＞政府は、仮設住宅の居住環境の改善に向け、冬を控えての寒さ対策、交通手段確保、買い物支援等の対応策をとりまとめました⇒(PDF) http://twme.jp/pmo/00AZ,Middle
【お知らせ】＜除染＞文部科学省は、福島県に学校等の除染を行うチームを派遣します。「チルドレン・ファースト」の方針の下、学校・通学路・公園等、子どもの生活環境の優先的な除染を行います⇒ http://twme.jp/pmo/00AW,Middle
【いわき市・保育施設及び教育施設における除染及び表土除去の実施状況について（平成23年10月19日現在）】 いわき市の施設の清掃、除草及び洗浄作業の実施状況等はこちらからご覧いただけます。http://tinyurl.com/3j97urw,Middle
【楢葉元気あっぷ教室参加者募集】 楢葉町は、運動でカラダもココロもスッキリと笑顔で復興を目指せるよう「みんなでいっしょに 楢葉元気あっぷ教室」を開催します。１クラス６０分程度で、ストレッチや様々な体操を組み合わせた運動を行います。要申込みhttp://tinyurl.com/62fx36f,Middle
【双葉町役場福島支所の開設のお知らせ 】 福島県内外に避難されている住民の方への行政サービスの利便性の向上を図るために、１０月２８日（金）より郡山市に双葉町役場福島支所を開設します。 郡山市朝日一丁目２０番２号　０２４－９７３－８０９０ http://tinyurl.com/66w8oap,Middle
