【防災対策】ライフラインアカウント検索 https://support.twitter.com/articles/20170074 … いざという時に備えてライフライン関連アカウントを登録しましょう。3.11の時、ケータイから通話は出来ないが、ツイッターは使えた人も多いはず。 #,ライフライン
電気か水か新幹線復旧まだ…？,ライフライン
救援物資のおかげで飯には困らなさそう　電気か水どっちか復旧してくれ！,ライフライン
今日も日が沈みます　電気がない今寝るしかありません　ですが寝ることはできるのです　前向きに頑張る　心折れちゃダメだ！,ライフライン
電池ピンチ　停電復旧まだすかああああああ,ライフライン
明日天気次第　国道歩いて仙台中心いくつもりです　運よければタクシーつかまえる　一泊させてもいいよという方リプください　今ライフライン全滅なため電気を分けていただきたい〉〈　因みに残念ながら男です,ライフライン
地味に食料に困ったが営業中のレストラン発見　コンビニも品揃え十分じゃなかった…　アイスはやたらとあったけど,ライフライン
千葉あたりで強めの地震だそうで　気を抜いちゃいけないね,ライフライン
長い間非常食に、と食べずにおいたモノを食べようかと思う　荷物になるし　この蜜柑とは４日くらいの付き合いかな　いただきます　,ライフライン
いわき市水道局3/17:風船式給水槽1㎥等による給水所（17箇所） 平 地 区：高久小学校、藤間中学校、中央台公民館、平第六小学校 小名浜地区：江名小学校、江名中学校、小名浜高校、玉川中央公園 勿来地区：植田小学校、植田公民館、勿来公民館、金山運動公園 #iwaki #negau,ライフライン
