余震が……腹の怪我が激痛を発し始めた。死んでしまう。痛い。サーバーの角が、破れた腹にめり込んでいるのがわかる。痛くて足が痙攣している。何度も気を失いそうになるが、痛みで覚醒する。指を動かせるうちに誰か気付いてくれ。死にたくない。痛い。痛みで発狂しそうだ,救助
ひたちなか近辺のライフライン全死して救助も援助無い状態だそうです！日立、及び県北西南で水の支援がされてない地域がたくさんあるとのこと!!故郷の茨城が死んじゃう。助けて! #save_ibaraki,救助
とにかく早く救出してほしい。,救助
岩永美保が車ごと津波に流されて、龍和自工株式会社の倉庫の中のトラックの上にいます。宮城県岩沼市下野郷新拓174。誰か助けて下さい #j_j_helpme,救助
ツイッター上で救助の要請を見かけた場合、まず119番に電話をして下さい。 その際、救助の要請をされている場所をきちんと伝えて下さい。リツイートや拡散するのではなく、119番へ電話をかけて下さい。なお、同じ内容の電話が複数かからないよう、電話をかけた方はその旨をツイートして下さい。,救助
家具に埋もれて動けなくなったら机の脚でも何でもいい、とにかく叩けるものを叩いて音を出せ。“２・５・２”のリズムは「要救助者あり」の信号。消防職員が必ず救助する。,救助
被災地の妊婦さん。ご自身から妊娠中であることを自己申告し、優先的に救助されて下さい。外見からでは妊娠初期は分かりません。妊婦さん、乳幼児の周りにいる方、妊婦さんの声を聞いて上げて下さい。妊婦さん、戦時でも沢山の健康な赤ちゃんが産まれています。どうぞ安心して。絶対に大丈夫です。,救助
【溺水者の救助】①呼吸の有無を確認する。呼吸があろうとなかろうと、無理に腹を押すなどして水を吐かせようとしない。②呼吸がある場合：顔を横向けにする（水を吐いて窒息することがあるため）。　③呼吸が無い場合→心肺蘇生法へ　＜全ての場合で、身体を大きな布などで覆い、保温する。,救助
JR東日本で働いている知人に電話したところ偶然にも繋がった。運休につい伺ったら「線路の歪みを全線で検証しなくてはならないので復旧の見込みは未だない。朝までにそれが終わるかどうかもわからない」とのこと。脱線した場合のことを考えているそうでこれは仕方ない判断だったそうな。なるほど。,救助
何かあったら、額に触れて深呼吸して下さい。 この方法は、あらゆる感情ストレスの解放に効果があります。 阪神大震災の時も、中国の地震の時も、この方法でたくさんの人が救われました。 どこか、体に痛みがある時は、その場所と額の両方を手で触れてつなげば、かなり痛みを軽減できます,救助
